ISO 639-2;English name
ypk;Yupik
zap;Zapotec
zbl;Blissymbols
zen;Zenaga
zgh;Standard Moroccan Tamazight
zha;Zhuang
chi ;Chinese
znd;Zande
zul;Zulu
zun;Zuni
zza;Zaza
